Start	End	StartM	EndM	length	lengthM	ch	iid1	iid2	SNP_Dens
16960	20517	0.5787150263786316	0.6813049912452698	3557	0.10258996486663816	10	VLI007	I23207	346.72007195088935
51291	53271	1.5109020471572876	1.5838040113449097	1980	0.07290196418762207	10	VLI007	I7953	271.5976204570057
20694	22573	0.7020549774169922	0.7820109724998474	1879	0.07995599508285522	10	VLI007	I18493	235.00426679111013
33180	36216	0.9412720203399658	1.0089659690856934	3036	0.06769394874572754	11	VLI007	RISE505_noUDG.SG	448.4891273522606
35357	37369	1.0817329883575442	1.1491949558258057	2012	0.06746196746826172	12	VLI007	I21271	298.2421170782737
17465	20337	0.6014890074729919	0.6706309914588928	2872	0.06914198398590088	13	VLI007	I21314	415.3771463349454
30898	32876	0.9572349786758424	1.0365400314331057	1978	0.07930505275726317	14	VLI007	I27380	249.41664260085176
10356	13833	0.6155570149421692	0.6841700077056885	3477	0.06861299276351929	15	VLI007	I0443	506.7553330582425
17070	18588	0.7160540223121643	0.7779819965362549	1518	0.061927974224090576	16	VLI007	I23205	245.12347109999337
4563	6863	0.3188430070877075	0.38339999318122864	2300	0.06455698609352112	22	VLI007	I21314	356.27437697727737
20068	22493	0.783381998538971	0.8486930131912231	2425	0.0653110146522522	1	VLI007	I7958	371.3003102021744
14885	17057	0.6582030057907104	0.7211859822273254	2172	0.06298297643661499	1	VLI007	I2105	344.85508988065436
20042	22575	0.7815470099449158	0.8509780168533325	2533	0.06943100690841675	1	VLI007	I2861	364.8225933610849
72116	75590	2.295011043548584	2.390782117843628	3474	0.09577107429504396	1	VLI007	I2069	362.74000532745146
24980	28708	0.8111249804496765	0.8796979784965515	3728	0.068572998046875	2	VLI007	I2454	543.6542234089898
86968	89362	2.411771059036255	2.4971940517425537	2394	0.08542299270629883	2	VLI007	I2454	280.25241497111284
45072	48353	1.3324660062789917	1.4196399450302124	3281	0.0871739387512207	2	VLI007	I2105	376.3739538445549
78086	81657	2.1517250537872314	2.2376561164855957	3571	0.08593106269836426	2	VLI007	HUGO_168	415.56567414218375
38394	42443	1.1288080215454102	1.2441480159759521	4049	0.11533999443054199	2	VLI007	I4886	351.04908925917425
47488	50237	1.300165057182312	1.364881992340088	2749	0.06471693515777588	3	VLI007	I2454	424.7728965066266
15632	18174	0.5437229871749878	0.604295015335083	2542	0.060572028160095215	3	VLI007	I2105	419.6656571051829
40548	42895	1.122251033782959	1.1833089590072632	2347	0.0610579252243042	3	VLI007	I2105	384.3890848531114
69341	71096	1.8674169778823853	1.9281369447708128	1755	0.06071996688842773	3	VLI007	I5502	289.0317781669403
13577	16089	0.5313529968261719	0.6050860285758972	2512	0.07373303174972534	4	VLI007	I7958	340.68855442246985
35246	38227	1.1007859706878662	1.1664350032806396	2981	0.06564903259277344	4	VLI007	I7958	454.0813294982423
7605	11376	0.34316399693489075	0.4482550024986267	3771	0.10509100556373596	4	VLI007	AITI_43	358.83185052530024
39981	46700	1.215167999267578	1.3764100074768066	6719	0.16124200820922852	4	VLI007	AITI_43	416.702822956744
40056	42512	1.217960000038147	1.2798839807510376	2456	0.06192398071289064	4	VLI007	I4789	396.61532926754126
53801	57105	1.575410008430481	1.6696239709854126	3304	0.09421396255493164	4	VLI007	I4789	350.69111949023437
44744	47346	1.2695599794387815	1.3384959697723389	2602	0.06893599033355713	5	VLI007	I14621	377.4516021906456
60986	62929	1.6828089952468872	1.7499419450759888	1943	0.06713294982910156	5	VLI007	I11736	289.42568514362017
50011	53069	1.3980070352554321	1.4825019836425781	3058	0.084494948387146	5	VLI007	HUGO_168	361.91512727939664
35554	40806	0.8501179814338684	0.9428939819335938	5252	0.09277600049972534	6	VLI007	I2069	566.0946766093401
7169	8933	0.29704201221466064	0.3590089976787567	1764	0.061966985464096076	7	VLI007	I5514	284.6677124582845
25	1515	0.003509999951347709	0.06952700018882751	1490	0.0660170002374798	7	VLI007	I20751	225.6994402411643
29062	30901	0.9068710207939148	0.9705029726028442	1839	0.06363195180892944	7	VLI007	I20751	289.00575068356363
6946	9015	0.2460220009088516	0.32645300030708313	2069	0.0804309993982315	8	VLI007	I12413	257.2391261428852
36134	38333	1.099992036819458	1.1682889461517334	2199	0.06829690933227539	9	VLI007	I7958	321.9765025239302
24678	28218	0.800790011882782	0.9077789783477784	3540	0.10698896646499634	9	VLI007	AITI_43	330.87524040698014
25074	27528	0.8121600151062012	0.8883829712867737	2454	0.07622295618057251	9	VLI007	I11736	321.95025264914466
2284	4232	0.0881590023636818	0.15379400551319122	1948	0.06563500314950943	9	VLI007	I0440	296.79285541628866
50272	52131	1.476290941238403	1.5410519838333132	1859	0.06476104259490968	10	VLI007	I4889	287.0552921188023
24775	27199	0.7804980278015137	0.8557760119438171	2424	0.07527798414230348	12	VLI007	I2694	322.0064973336341
21033	23572	0.692999005317688	0.7618659734725952	2539	0.06886696815490723	13	VLI007	I2105	368.68183223760514
27703	29818	0.8387609720230103	0.9226760268211364	2115	0.08391505479812622	14	VLI007	I4886	252.04059093902023
1646	3107	0.2839449942111969	0.34932100772857666	1461	0.06537601351737976	15	VLI007	I5514	223.47645893269456
6814	10156	0.5305290222167969	0.6105650067329407	3342	0.0800359845161438	15	VLI007	I4889	417.5621778383817
5285	7191	0.4653050005435944	0.5413709878921509	1906	0.07606598734855652	15	VLI007	I4891	250.57191347114875
16221	18573	0.7248730063438416	0.7858279943466187	2352	0.0609549880027771	17	VLI007	I4318	385.85849609105713
9991	12146	0.4915260076522827	0.568835973739624	2155	0.07730996608734131	17	VLI007	I4891	278.74802034777485
26551	28475	0.8850209712982178	0.9489539861679076	1924	0.06393301486968994	18	VLI007	I2454	300.9399766179572
27119	29024	0.9016640186309814	0.9655709862709044	1905	0.0639069676399231	18	VLI007	HUGO_168	298.08956211684415
8329	10193	0.5229460000991821	0.596002995967865	1864	0.07305699586868286	19	VLI007	I2861	255.1432587442369
3112	5167	0.18045200407505035	0.24336700141429896	2055	0.06291499733924866	21	VLI007	I5514	326.6311828512177
5781	8111	0.2660210132598877	0.3389729857444763	2330	0.07295197248458862	21	VLI007	I2105	319.38821126354344
3957	5977	0.2851020097732544	0.3526139855384827	2020	0.06751197576522827	22	VLI007	I4886	299.20617447555014
38745	41262	1.2771060466766355	1.3414870500564575	2517	0.06438100337982178	1	VLI007	I15043	390.9538323208046
46951	48528	1.5749239921569824	1.6450380086898804	1577	0.07011401653289795	1	VLI007	I4787	224.9193639134996
67038	69173	2.135256052017212	2.2170429229736333	2135	0.0817868709564209	1	VLI007	I5512	261.04434306303364
31694	34489	1.0892610549926758	1.1673120260238647	2795	0.07805097103118896	1	VLI007	I4887	358.0993244636412
